,Unnamed: 0,State,CBSASub,Areaname,Rent50_0,Rent50_1,Rent50_2,Rent50_3,Rent50_4,state_alpha,pop2000
205,1027,26,METRO19820M19820,"Detroit-Warren-Livonia, MI HUD Metro FMR Area",642,712,857,1023,1055,MI,4295606.0
206,1029,26,METRO22420M22420,"Flint, MI MSA",526,547,666,836,863,MI,436141.0
207,1030,26,METRO24340M24340,"Grand Rapids-Wyoming, MI HUD Metro FMR Area",567,606,730,931,976,MI,574335.0
208,1034,26,METRO26100M26100,"Holland-Grand Haven, MI MSA",643,664,776,1131,1243,MI,238314.0
209,1035,26,METRO27100M27100,"Jackson, MI MSA",596,601,722,895,923,MI,158422.0
210,1036,26,METRO28020M28020,"Kalamazoo-Portage, MI MSA",559,588,725,971,1127,MI,314866.0
211,1037,26,METRO29620M29620,"Lansing-East Lansing, MI MSA",582,631,794,1029,1154,MI,447728.0
212,1038,26,METRO33780M33780,"Monroe, MI MSA",676,678,816,1081,1178,MI,145945.0
213,1039,26,METRO34740M34740,"Muskegon-Norton Shores, MI MSA",483,500,648,865,890,MI,170200.0
214,1040,26,METRO35660M35660,"Niles-Benton Harbor, MI MSA",488,553,687,863,1054,MI,162453.0
215,1041,26,METRO40980M40980,"Saginaw-Saginaw Township North, MI MSA",490,567,720,882,906,MI,210039.0
216,1100,27,METRO20260M20260,"Duluth, MN-WI MSA",453,547,695,883,1069,MN,232199.0
217,1101,27,METRO22020M22020,"Fargo, ND-MN MSA",436,508,633,924,1070,MN,51229.0
218,1102,27,METRO24220M24220,"Grand Forks, ND-MN MSA",450,556,694,892,1158,MN,31369.0
219,1103,27,METRO29100M29100,"La Crosse, WI-MN MSA",445,518,684,930,1199,MN,19718.0
220,1104,27,METRO31860M31860,"Mankato-North Mankato, MN MSA",539,621,732,1044,1198,MN,85712.0
221,1105,27,METRO33460M33460,"Minneapolis-St. Paul-Bloomington, MN-WI MSA",678,794,966,1279,1443,MN,2868847.0
222,1106,27,METRO40340M40340,"Rochester, MN HUD Metro FMR Area",633,692,902,1196,1306,MN,142008.0
223,1108,27,METRO41060M41060,"St. Cloud, MN MSA",541,590,701,988,1181,MN,167392.0
224,1173,28,METRO25060M25060,"Gulfport-Biloxi, MS MSA",797,834,963,1271,1376,MS,246190.0
225,1174,28,METRO25620M25620,"Hattiesburg, MS MSA",518,603,718,1044,1078,MS,123812.0
226,1175,28,METRO27140M27140,"Jackson, MS HUD Metro FMR Area",624,716,824,1028,1060,MS,469558.0
228,1181,28,METRO37700M37700,"Pascagoula, MS MSA",705,755,906,1310,1361,MS,150564.0
230,1248,29,METRO17860M17860,"Columbia, MO MSA",482,562,698,1014,1202,MO,145666.0
231,1251,29,METRO27620N29051,"Jefferson City, MO HUD Metro FMR Area",433,489,632,921,1034,MO,84459.0
232,1253,29,METRO27900M27900,"Joplin, MO MSA",418,497,629,810,835,MO,157322.0
236,1259,29,METRO44180M44180,"Springfield, MO HUD Metro FMR Area",426,487,631,917,1037,MO,325721.0
237,1341,30,METRO13740M13740,"Billings, MT MSA",501,564,718,1004,1189,MT,138904.0
238,1342,30,METRO24500M24500,"Great Falls, MT MSA",435,517,671,907,1057,MT,80357.0
239,1343,30,METRO33540M33540,"Missoula, MT MSA",553,646,805,1076,1273,MT,95802.0
240,1396,31,METRO30700M30700,"Lincoln, NE HUD Metro FMR Area",494,558,711,995,1231,NE,250291.0
243,1485,32,METRO16180M16180,"Carson City, NV MSA",625,757,941,1372,1602,NV,52457.0
244,1486,32,METRO29820M29820,"Las Vegas-Paradise, NV MSA",800,937,1108,1538,1869,NV,1375765.0
245,1487,32,METRO39900M39900,"Reno-Sparks, NV MSA",627,749,924,1348,1623,NV,342885.0
248,1504,33,METRO14460MM6450,"Portsmouth-Rochester, NH HUD Metro FMR Area",764,880,1087,1453,1631,NH,206609.0
249,1505,33,METRO31700MM4760,"Manchester, NH HUD Metro FMR Area",761,934,1127,1347,1387,NH,149985.0
250,1506,33,METRO31700MM5350,"Nashua, NH HUD Metro FMR Area",833,1005,1258,1683,1818,NH,201863.0
251,1516,34,METRO12100M12100,"Atlantic City-Hammonton, NJ MSA",878,970,1157,1502,1683,NJ,252552.0
252,1517,34,METRO35620MM0875,"Bergen-Passaic, NJ HUD Metro FMR Area",1195,1307,1494,1884,2281,NJ,1373167.0
253,1518,34,METRO35620MM3640,"Jersey City, NJ HUD Metro FMR Area",1110,1153,1336,1606,1725,NJ,608975.0
254,1519,34,METRO35620MM5015,"Middlesex-Somerset-Hunterdon, NJ HUD Metro FMR Area",1297,1350,1617,2110,2459,NJ,1169641.0
255,1520,34,METRO35620MM5190,"Monmouth-Ocean, NJ HUD Metro FMR Area",993,1144,1417,1858,2056,NJ,1126217.0
256,1521,34,METRO35620MM5640,"Newark, NJ HUD Metro FMR Area",941,1149,1312,1594,1833,NJ,1930552.0
257,1522,34,METRO36140M36140,"Ocean City, NJ MSA",759,810,1005,1308,1351,NJ,102326.0
259,1524,34,METRO45940M45940,"Trenton-Ewing, NJ MSA",934,1084,1305,1591,1728,NJ,350761.0
260,1525,34,METRO47220M47220,"Vineland-Millville-Bridgeton, NJ MSA",860,864,1048,1270,1375,NJ,146438.0
261,1526,35,METRO10740M10740,"Albuquerque, NM MSA",546,642,811,1181,1416,NM,729649.0
262,1527,35,METRO22140M22140,"Farmington, NM MSA",552,556,664,895,976,NM,113801.0
263,1528,35,METRO29740M29740,"Las Cruces, NM MSA",511,553,614,880,931,NM,174682.0
