,State,CBSASub,areaname,Rent50_0,Rent50_1,Rent50_2,Rent50_3,Rent50_4,state_alpha,pop2000
348,13,METRO23580M23580,"Gainesville, GA MSA",652,708,788,998,1247,GA,139277
349,13,METRO25980M25980,"Hinesville-Fort Stewart, GA HUD Metro FMR Area",472,511,571,815,926,GA,61610
351,13,METRO31420M31420,"Macon, GA MSA",515,559,622,750,789,GA,200611
353,13,METRO40660M40660,"Rome, GA MSA",442,488,602,749,773,GA,90565
354,13,METRO42340M42340,"Savannah, GA MSA",621,675,761,1008,1150,GA,293000
355,13,METRO46660M46660,"Valdosta, GA MSA",492,501,593,835,860,GA,119560
356,13,METRO47580M47580,"Warner Robins, GA MSA",556,559,674,960,1070,GA,110765
446,15,METRO26180M26180,"Honolulu, HI MSA",888,1058,1279,1865,2196,HI,876156
451,16,METRO14260M14260,"Boise City-Nampa, ID HUD Metro FMR Area",538,640,731,1063,1169,ID,449659
453,16,METRO17660M17660,"Coeur d'Alene, ID MSA",527,571,685,996,1118,ID,108685
454,16,METRO26820M26820,"Idaho Falls, ID MSA",439,479,600,828,1024,ID,101677
455,16,METRO30300M30300,"Lewiston, ID-WA MSA",465,483,609,840,1013,ID,37410
456,16,METRO30860M30860,"Logan, UT-ID MSA",487,519,639,872,1075,ID,11329
457,16,METRO38540M38540,"Pocatello, ID MSA",393,451,566,825,995,ID,83103
490,17,METRO14060M14060,"Bloomington-Normal, IL MSA",481,540,685,914,1173,IL,150433
491,17,METRO16580M16580,"Champaign-Urbana, IL MSA",472,564,672,897,1179,IL,210275
492,17,METRO16980M16980,"Chicago-Naperville-Joliet, IL HUD Metro FMR Area",727,832,935,1143,1291,IL,8091720
496,17,METRO19180M19180,"Danville, IL MSA",375,438,577,700,722,IL,83919
497,17,METRO19340M19340,"Davenport-Moline-Rock Island, IA-IL MSA",449,495,623,805,872,IL,217351
498,17,METRO19500M19500,"Decatur, IL MSA",382,470,584,792,816,IL,114706
499,17,METRO28100M28100,"Kankakee-Bradley, IL MSA",519,582,743,968,1044,IL,103833
500,17,METRO37900M37900,"Peoria, IL MSA",439,511,640,825,952,IL,366899
501,17,METRO40420M40420,"Rockford, IL MSA",463,520,675,888,914,IL,320204
502,17,METRO41180M41180,"St. Louis, MO-IL HUD Metro FMR Area",525,573,711,927,991,IL,604929
505,17,METRO44100M44100,"Springfield, IL MSA",414,492,632,834,953,IL,201437
572,18,METRO11300M11300,"Anderson, IN MSA",530,531,651,816,848,IN,133358
573,18,METRO14020MM1020,"Bloomington, IN HUD Metro FMR Area",492,581,696,1013,1178,IN,120563
576,18,METRO16980MM2960,"Gary, IN HUD Metro FMR Area",555,659,805,974,1002,IN,645928
578,18,METRO17140M17140,"Cincinnati-Middleton, OH-KY-IN HUD Metro FMR Area",469,551,716,970,1026,IN,73883
579,18,METRO18020M18020,"Columbus, IN MSA",617,623,741,911,1049,IN,71435
580,18,METRO21140M21140,"Elkhart-Goshen, IN MSA",573,575,700,883,909,IN,182791
581,18,METRO21780M21780,"Evansville, IN-KY HUD Metro FMR Area",408,485,596,735,837,IN,251366
583,18,METRO23060M23060,"Fort Wayne, IN MSA",497,519,659,807,828,IN,390156
